ts_code,trade_date,open,high,low,close,vol,amount
300750.SZ,20260305,344.58,353.85,342.66,350.25,310060.68,10819502.021
300750.SZ,20260306,349.0,357.02,344.66,354.77,209631.13,7388868.682
300750.SZ,20260309,348.84,359.85,345.06,357.5,317976.13,11217996.825
300750.SZ,20260310,375.0,379.77,366.5,376.3,507417.28,19049080.513
300750.SZ,20260311,379.58,403.55,378.98,396.8,575986.85,22642696.276
300750.SZ,20260312,400.0,400.9,392.7,395.5,291503.75,11537671.607
300750.SZ,20260313,393.88,403.99,393.8,397.0,355826.39,14201304.444
300750.SZ,20260316,401.77,413.17,398.0,408.4,373521.04,15195015.005
300750.SZ,20260317,415.78,420.0,404.56,405.0,359806.78,14787230.79
300750.SZ,20260318,405.36,406.0,396.77,402.02,265299.96,10653633.584
300750.SZ,20260319,401.94,414.0,400.0,400.5,292866.35,11867380.765
300750.SZ,20260320,405.08,422.08,400.13,413.0,537296.77,22252017.693
300750.SZ,20260323,417.33,417.36,398.75,401.99,446141.45,18193336.487
300750.SZ,20260324,405.0,411.9,388.0,396.99,364105.25,14439124.61
300750.SZ,20260325,393.0,400.5,387.8,397.81,267528.28,10553996.247
300750.SZ,20260326,393.84,413.72,392.0,402.5,267636.97,10811439.764
300750.SZ,20260327,406.12,418.33,401.73,416.18,302580.43,12465856.864
300750.SZ,20260330,413.0,418.85,405.6,413.0,253484.19,10440376.424
300750.SZ,20260331,413.0,416.95,401.58,401.7,249256.45,10159878.346
300750.SZ,20260401,409.73,409.87,396.0,405.71,231700.73,9384266.504
300750.SZ,20260402,407.9,411.99,397.2,401.17,223056.38,8988161.794
300750.SZ,20260403,400.0,400.8,385.13,386.46,247515.01,9640031.385
300750.SZ,20260407,389.98,393.2,381.49,384.59,172576.22,6675632.984
300750.SZ,20260408,396.5,397.65,388.22,391.3,364184.43,14315333.338
300750.SZ,20260409,394.1,394.28,386.66,389.99,259551.99,10132744.607
300750.SZ,20260410,394.0,419.0,392.68,416.0,507887.02,20752496.341
300750.SZ,20260413,418.0,433.33,416.0,427.13,412399.24,17625505.878
300750.SZ,20260414,421.5,432.49,414.4,430.79,442208.26,18663656.303
300750.SZ,20260415,438.88,439.46,427.07,431.0,373536.28,16122379.46
300750.SZ,20260416,441.0,460.0,433.02,453.98,635062.18,28517416.468
300750.SZ,20260417,455.96,457.64,441.01,444.2,365358.48,16290232.436
300750.SZ,20260420,433.0,437.9,426.01,432.5,529278.21,22768028.85
300750.SZ,20260421,435.0,450.13,425.1,447.6,577745.62,25412275.749
300750.SZ,20260422,441.01,447.97,433.13,436.35,460254.32,20173924.648
300750.SZ,20260423,443.5,443.6,435.0,438.9,354309.66,15566836.621
300750.SZ,20260424,442.0,448.45,438.0,444.9,395424.97,17517374.359
300750.SZ,20260427,444.63,448.76,433.8,434.88,330612.83,14514326.132
300750.SZ,20260428,426.19,433.3,423.0,427.67,350121.13,14992134.063
300750.SZ,20260429,432.0,445.15,428.0,445.0,376335.6,16473164.318
300750.SZ,20260430,446.5,449.5,436.0,436.0,298120.94,13127297.982
300750.SZ,20260506,457.5,465.88,448.63,460.0,473727.18,21679900.613
300750.SZ,20260507,468.75,468.75,447.0,451.64,386212.74,17551196.925
300750.SZ,20260508,449.0,455.5,436.2,437.0,366048.51,16224287.222
300750.SZ,20260511,440.0,450.51,435.1,446.11,341901.01,15198345.088
300750.SZ,20260512,446.59,446.85,429.29,431.25,341514.97,14869224.128
300750.SZ,20260513,431.01,436.58,427.08,434.05,316858.23,13668347.814
300750.SZ,20260514,449.38,450.45,427.0,427.0,347046.14,15157645.64
300750.SZ,20260515,428.08,431.5,421.0,423.6,297048.93,12638150.862
300750.SZ,20260518,420.58,422.9,414.0,417.23,284983.47,11894351.176
300750.SZ,20260519,415.86,419.9,406.8,417.92,260876.68,10805349.153
300750.SZ,20260520,417.0,422.99,412.66,414.75,281190.31,11734883.868
300750.SZ,20260521,419.87,427.62,411.42,411.63,338671.72,14239107.293
300750.SZ,20260522,414.7,416.5,410.0,411.16,277883.81,11472585.703
300750.SZ,20260525,411.28,414.5,400.0,402.88,381977.1,15479408.962
300750.SZ,20260526,406.19,408.77,400.36,402.5,350627.03,14152427.064
300750.SZ,20260527,413.92,428.9,411.29,414.8,533728.88,22373358.897
300750.SZ,20260528,420.0,420.58,406.2,415.68,327771.49,13502296.107
300750.SZ,20260529,423.0,430.86,416.55,424.0,498118.91,21139031.904
300750.SZ,20260601,432.1,438.24,418.18,420.1,386004.52,16554495.936
300750.SZ,20260602,425.0,437.75,423.0,433.89,387981.6,16719046.201
300750.SZ,20260603,437.0,437.0,420.1,426.42,385526.08,16460790.913
300750.SZ,20260604,426.42,426.9,407.18,408.2,431154.62,17788218.035
300750.SZ,20260605,407.89,412.65,402.7,403.0,287389.3,11711423.57
300750.SZ,20260608,395.8,402.68,390.7,393.02,286526.36,11335280.87
300750.SZ,20260609,399.99,401.87,388.0,399.5,277351.47,10926469.6166
300750.SZ,20260610,395.28,399.0,385.12,388.5,244357.15,9535581.22717
300750.SZ,20260611,386.98,391.34,380.03,382.2,268654.47,10301875.9156
300750.SZ,20260612,389.99,399.54,383.3,394.85,414208.38,16278999.8834
300750.SZ,20260615,402.0,407.9,393.41,398.1,340748.82,13613555.7012
300750.SZ,20260616,408.88,409.02,398.5,403.53,348392.62,14107808.7348
300750.SZ,20260617,400.0,403.3,395.58,399.0,250092.64,9965557.90566
300750.SZ,20260618,400.39,409.89,389.92,391.55,385481.05,15327443.707
300750.SZ,20260622,393.0,413.33,386.0,408.98,594648.44,23926025.746
300750.SZ,20260623,411.0,414.04,390.73,392.51,373740.94,14957779.3941
300750.SZ,20260624,392.0,399.27,386.66,395.36,344270.57,13521407.6757
300750.SZ,20260625,399.88,402.55,392.58,401.9,324046.38,12900279.0381
300750.SZ,20260626,401.0,409.81,381.0,381.0,465253.03,18133875.4675
300750.SZ,20260629,386.96,396.0,378.2,392.36,425259.08,16529881.6525
300750.SZ,20260630,392.49,402.36,390.0,393.01,270383.46,10665434.439
300750.SZ,20260701,390.0,391.0,370.0,383.84,440885.79,16758898.184
300750.SZ,20260702,387.68,390.99,380.39,382.35,340754.35,13139767.2594
300750.SZ,20260703,381.96,387.95,379.0,380.0,258849.4,9910832.54224
300750.SZ,20260706,379.23,381.89,374.05,374.51,216480.05,8167456.24112
