ts_code,trade_date,open,high,low,close,vol,amount
600519.SH,20250923,1450.5,1457.5,1440.0,1447.42,38663.0,5588384.388
600519.SH,20250924,1434.07,1456.78,1434.07,1442.0,30743.5,4443052.872
600519.SH,20250925,1442.83,1445.21,1436.0,1439.0,33869.73,4873274.661
600519.SH,20250926,1441.18,1447.11,1428.01,1435.0,45120.71,6480889.597
600519.SH,20250929,1439.38,1469.99,1435.0,1460.86,53684.03,7798434.586
600519.SH,20250930,1460.0,1460.76,1440.0,1443.99,39363.62,5687474.876
600519.SH,20251009,1436.0,1439.38,1420.0,1436.78,54918.12,7845448.947
600519.SH,20251010,1437.6,1439.94,1427.5,1430.0,36001.44,5157459.262
600519.SH,20251013,1415.7,1422.85,1415.12,1419.2,46068.8,6533147.458
600519.SH,20251014,1429.99,1464.0,1429.99,1451.02,66672.33,9639484.605
600519.SH,20251015,1450.98,1463.0,1445.08,1462.0,42785.4,6233407.482
600519.SH,20251016,1461.92,1484.95,1458.88,1484.91,45730.15,6749162.949
600519.SH,20251017,1483.1,1488.0,1454.03,1455.0,38085.89,5594724.9
600519.SH,20251020,1455.0,1469.5,1454.88,1457.93,25949.88,3793283.759
600519.SH,20251021,1459.0,1469.94,1455.5,1462.26,25442.67,3727984.13
600519.SH,20251022,1462.08,1465.73,1456.0,1458.7,18194.92,2657486.636
600519.SH,20251023,1455.0,1468.8,1447.2,1467.98,29322.35,4274652.09
600519.SH,20251024,1467.95,1478.88,1449.34,1450.0,38225.83,5578603.148
600519.SH,20251027,1440.0,1452.49,1435.99,1440.41,37102.39,5352667.152
600519.SH,20251028,1442.0,1451.2,1441.1,1445.0,27124.33,3923817.14
600519.SH,20251029,1440.02,1446.55,1430.04,1431.9,33937.11,4868780.319
600519.SH,20251030,1421.81,1436.63,1421.81,1426.74,47456.1,6768821.311
600519.SH,20251031,1422.0,1435.98,1420.11,1430.01,35693.77,5109623.861
600519.SH,20251103,1431.0,1448.0,1420.1,1435.0,34547.66,4945310.83
600519.SH,20251104,1435.1,1435.78,1423.78,1429.0,26565.72,3793892.903
600519.SH,20251105,1425.89,1430.99,1420.01,1420.08,34475.27,4908475.373
600519.SH,20251106,1430.0,1441.45,1429.99,1435.13,38347.82,5505960.415
600519.SH,20251107,1435.11,1439.78,1431.11,1433.33,18861.39,2704995.856
600519.SH,20251110,1435.0,1463.69,1434.98,1462.3,49451.54,7181246.441
600519.SH,20251111,1462.0,1462.18,1447.0,1458.99,26691.56,3882776.772
600519.SH,20251112,1459.98,1478.36,1459.21,1465.15,32992.1,4849073.051
600519.SH,20251113,1462.12,1473.58,1458.0,1470.38,31179.23,4569178.269
600519.SH,20251114,1470.0,1478.95,1456.3,1456.6,27473.06,4031007.106
600519.SH,20251117,1454.0,1473.0,1445.79,1471.0,34462.21,5035780.027
600519.SH,20251118,1470.7,1486.07,1469.0,1476.0,34204.78,5055675.474
600519.SH,20251119,1474.0,1479.53,1469.96,1471.01,22045.37,3249449.214
600519.SH,20251120,1472.0,1479.9,1465.03,1467.11,24002.32,3531653.943
600519.SH,20251121,1470.5,1480.0,1456.0,1466.6,42607.2,6259873.433
600519.SH,20251124,1467.0,1471.0,1451.13,1452.0,33607.44,4901903.705
600519.SH,20251125,1458.0,1458.0,1444.5,1444.65,28440.69,4119930.011
600519.SH,20251126,1448.88,1453.49,1443.58,1449.15,20306.16,2938818.095
600519.SH,20251127,1449.5,1450.0,1439.04,1447.3,22286.89,3216797.187
600519.SH,20251128,1446.5,1455.5,1443.0,1450.5,23211.21,3366696.622
600519.SH,20251201,1451.0,1462.27,1442.0,1448.0,27333.42,3961994.999
600519.SH,20251202,1448.0,1451.92,1435.02,1436.03,25047.26,3607543.825
600519.SH,20251203,1435.81,1435.97,1428.0,1429.1,23572.79,3370080.066
600519.SH,20251204,1429.1,1432.5,1418.38,1423.98,29075.39,4134921.902
600519.SH,20251205,1423.98,1433.09,1419.5,1430.01,25401.66,3622681.597
600519.SH,20251208,1429.2,1436.67,1418.0,1418.22,33602.8,4789155.77
600519.SH,20251209,1418.23,1421.0,1400.05,1401.01,42634.43,5995722.121
600519.SH,20251210,1400.0,1402.8,1383.18,1402.8,33133.47,4625906.139
600519.SH,20251211,1406.66,1411.99,1401.55,1411.99,22385.01,3149974.074
600519.SH,20251212,1418.0,1425.0,1413.57,1420.65,37159.19,5273563.274
600519.SH,20251215,1439.59,1439.99,1425.57,1426.0,33358.79,4774362.06
600519.SH,20251216,1426.2,1428.78,1415.0,1422.0,23963.67,3403139.194
600519.SH,20251217,1425.0,1439.94,1417.68,1433.1,31382.49,4489482.138
600519.SH,20251218,1433.5,1438.88,1426.11,1431.0,17829.95,2551177.659
600519.SH,20251219,1410.0,1412.45,1401.01,1410.0,26508.68,3733028.357
600519.SH,20251222,1410.0,1414.14,1406.58,1408.26,20425.65,2881636.856
